event_date,event_ts,event_type,campaign_id,ad_id,user_id,device_os,country,cost,revenue
2026-02-16,2026-02-16 08:50:13,impression,C002,A0108,174592,Android,KR,0.0,0.0
2026-02-16,2026-02-16 20:20:27,click,C004,A0046,36398,iOS,SG,0.11842684350420912,0.0
2026-02-16,2026-02-16 15:14:16,impression,C013,A0186,22909,iOS,JP,0.0,0.0
2026-02-16,2026-02-16 12:50:25,impression,C013,A0323,144890,iOS,JP,0.0,0.0
2026-02-16,2026-02-16 02:39:02,impression,C017,A0285,16194,iOS,JP,0.0,0.0
2026-02-16,2026-02-16 21:41:05,impression,C006,A0083,47670,Web,JP,0.0,0.0
2026-02-16,2026-02-16 19:51:31,impression,C011,A0138,139122,Web,JP,0.0,0.0
2026-02-16,2026-02-16 13:02:25,impression,C019,A0327,9220,Android,KR,0.0,0.0
2026-02-16,2026-02-16 11:52:21,impression,C016,A0237,12279,iOS,KR,0.0,0.0
2026-02-16,2026-02-16 15:21:41,impression,C008,A0321,34705,iOS,KR,0.0,0.0
2026-02-16,2026-02-16 15:54:34,impression,C001,A0145,4848,iOS,US,0.0,0.0
2026-02-16,2026-02-16 16:44:21,click,C010,A0278,34384,Android,KR,0.3842982097521073,0.0
2026-02-16,2026-02-16 05:26:35,impression,C002,A0100,37065,iOS,JP,0.0,0.0
2026-02-16,2026-02-16 07:31:27,impression,C019,A0014,88026,iOS,TW,0.0,0.0
2026-02-16,2026-02-16 00:44:54,impression,C014,A0262,195786,Android,KR,0.0,0.0
2026-02-16,2026-02-16 05:54:37,impression,C003,A0047,123079,Android,KR,0.0,0.0
2026-02-16,2026-02-16 06:06:27,impression,C009,A0225,149577,Android,KR,0.0,0.0
2026-02-16,2026-02-16 16:35:17,impression,C008,A0144,123831,Android,SG,0.0,0.0
2026-02-16,2026-02-16 21:28:48,impression,C011,A0196,182960,Android,KR,0.0,0.0
2026-02-16,2026-02-16 12:26:34,impression,C015,A0290,190683,Android,KR,0.0,0.0
2026-02-16,2026-02-16 17:19:33,impression,C006,A0257,91872,iOS,KR,0.0,0.0
2026-02-16,2026-02-16 08:46:28,impression,C002,A0008,157105,iOS,KR,0.0,0.0
2026-02-16,2026-02-16 14:34:36,impression,C001,A0278,49559,Android,TW,0.0,0.0
2026-02-16,2026-02-16 05:49:42,impression,C003,A0324,164957,Android,KR,0.0,0.0
2026-02-16,2026-02-16 10:55:44,impression,C018,A0290,115792,Android,US,0.0,0.0
2026-02-16,2026-02-16 14:23:51,impression,C014,A0293,186576,Web,SG,0.0,0.0
2026-02-16,2026-02-16 09:53:00,impression,C017,A0377,150036,Android,KR,0.0,0.0
2026-02-16,2026-02-16 00:03:45,impression,C002,A0023,18515,iOS,KR,0.0,0.0
2026-02-16,2026-02-16 05:07:17,impression,C019,A0084,146506,iOS,SG,0.0,0.0
2026-02-16,2026-02-16 09:28:29,impression,C009,A0255,127386,Android,JP,0.0,0.0
2026-02-16,2026-02-16 14:13:19,impression,C008,A0373,10684,iOS,KR,0.0,0.0
2026-02-16,2026-02-16 04:15:00,impression,C010,A0024,190594,iOS,KR,0.0,0.0
2026-02-16,2026-02-16 23:12:46,impression,C009,A0397,54019,Web,JP,0.0,0.0
2026-02-16,2026-02-16 19:14:54,click,C008,A0325,85863,Android,JP,0.6443031533912357,0.0
